DELV_YR,DELV_MM,HSMP_SNO,HSMP_NM,FMHS_CODE,PDLT_NM,DELV_QYT,EPOT_ETPS_NM,NTN_NM,ETL_LDG_DT
2023,01,4,창원동읍농협(미국),F003***,단감,19600,(주)에버굿,싱가폴,20240116064618
2023,01,4,창원동읍농협(미국),F003***,단감,2250,(주)에버굿,싱가폴,20240116064618
2023,01,4,창원동읍농협(미국),F003***,단감,3050,(주)에버굿,싱가폴,20240116064618
2023,01,4,창원동읍농협(미국),F003***,단감,14300,(주)에버굿,싱가폴,20240116064618
2023,01,4,창원동읍농협(미국),F003***,단감,8190,(주)에버굿,태국,20240116064618
2023,01,4,창원동읍농협(미국),F003***,단감,8190,(주)에버굿,태국,20240116064618
2023,01,13,상주대미배단지,F012***,배,3000,희창물산(주),미국,20240116064618
2023,01,13,상주대미배단지,F012***,배,1000,희창물산(주),미국,20240116064618
2023,01,13,상주대미배단지,F012***,배,1500,희창물산(주),미국,20240116064618
2023,01,13,상주대미배단지,F012***,배,336,희창물산(주),미국,20240116064618
2023,01,13,상주대미배단지,F012***,배,3000,희창물산(주),미국,20240116064618
2023,01,13,상주대미배단지,F012***,배,3000,희창물산(주),미국,20240116064618
2023,01,13,상주대미배단지,F012***,배,1000,희창물산(주),미국,20240116064618
2023,01,13,상주대미배단지,F012***,배,1000,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,1125,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,2305,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,880,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,680,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,1605,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,2180,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,850,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,1985,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,680,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,680,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,2040,희창물산(주),미국,20240116064618
2023,01,24,평택원예농협 산지유통센터,F023***,배,2720,희창물산(주),미국,20240116064618
