DELV_YR,DELV_MM,HSMP_SNO,HSMP_NM,FMHS_CODE,PDLT_NM,DELV_QYT,EPOT_ETPS_NM,NTN_NM,ETL_LDG_DT
2024,01,24,평택원예농협 산지유통센터,F023***,배,570,(주)엔에이치농협무역,미국,20250116101621
2024,01,24,평택원예농협 산지유통센터,F023***,배,1245,(주)엔에이치농협무역,미국,20250116101621
2024,01,24,평택원예농협 산지유통센터,F023***,배,950,(주)엔에이치농협무역,미국,20250116101621
2024,01,24,평택원예농협 산지유통센터,F023***,배,520,(주)엔에이치농협무역,미국,20250116101621
2024,01,24,평택원예농협 산지유통센터,F023***,배,115,(주)엔에이치농협무역,미국,20250116101621
2024,01,24,평택원예농협 산지유통센터,F023***,배,2040,(주)엔에이치농협무역,미국,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,1400,경북통상(주),중국,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,108,농업회사법인 한국한인홍(주),홍콩,20250116101621
2024,01,85,진주진양수출농단,F084***,파프리카,945,(주)오션그린,일본,20250116101621
2024,01,85,진주진양수출농단,F084***,파프리카,3620,(주)오션그린,일본,20250116101621
2024,01,85,진주진양수출농단,F084***,파프리카,345,(주)오션그린,일본,20250116101621
2024,01,85,진주진양수출농단,F084***,파프리카,545,(주)오션그린,일본,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,179,경북통상(주),대만,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,242,경북통상(주),대만,20250116101621
2024,01,40,천안배수출단지(미국),F039***,배,2775,(주)엔에이치농협무역,미국,20250116101621
2024,01,40,천안배수출단지(미국),F039***,배,1960,(주)엔에이치농협무역,미국,20250116101621
2024,01,40,천안배수출단지(미국),F039***,배,5110,(주)엔에이치농협무역,미국,20250116101621
2024,01,40,천안배수출단지(미국),F039***,배,1360,(주)엔에이치농협무역,미국,20250116101621
2024,01,40,천안배수출단지(미국),F039***,배,1280,(주)엔에이치농협무역,미국,20250116101621
2024,01,40,천안배수출단지(미국),F039***,배,355,(주)엔에이치농협무역,미국,20250116101621
2024,01,40,천안배수출단지(미국),F039***,배,760,(주)엔에이치농협무역,미국,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,30,경북통상(주),베트남,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,477,경북통상(주),베트남,20250116101621
2024,01,85,진주진양수출농단,F084***,파프리카,0,\N,\N,20250116101621
2024,01,85,진주진양수출농단,F084***,파프리카,0,\N,\N,20250116101621
2024,01,85,진주진양수출농단,F084***,파프리카,0,\N,\N,20250116101621
2024,01,85,진주진양수출농단,F084***,파프리카,0,\N,\N,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,0,\N,\N,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,0,\N,\N,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,0,\N,\N,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,0,\N,\N,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,0,\N,\N,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,0,\N,\N,20250116101621
2024,01,249,농업회사법인파머스팜(주),F248***,딸기,111,(주)경남무역,아랍에미리트,20250116101621
2024,01,249,농업회사법인파머스팜(주),F248***,딸기,254,(주)이립인터내셔널,아랍에미리트,20250116101621
2024,01,249,농업회사법인파머스팜(주),F248***,딸기,254,농업회사법인파머스팜주식회사,캐나다,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,1491,경북통상(주),중국,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,975,경북통상(주),중국,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,124,경북통상(주),중국,20250116101621
2024,01,249,농업회사법인파머스팜(주),F248***,딸기,252,(주)경남무역,홍콩,20250116101621
2024,01,249,농업회사법인파머스팜(주),F248***,딸기,328,농업회사법인 한국한인홍(주),홍콩,20250116101621
2024,01,249,농업회사법인파머스팜(주),F248***,딸기,328,농업회사법인 한국한인홍(주),홍콩,20250116101621
2024,01,249,농업회사법인파머스팜(주),F248***,딸기,656,농업회사법인 한국한인홍(주),홍콩,20250116101621
2024,01,214,고산영농조합법인,F213***,포도,131,농업회사법인 한국한인홍(주),홍콩,20250116101621
